Consecutive number,"Connection
device identifier(full)","cable
Type/connections number/RCS",Connection: Type designation,Connection color / number,Connection: Cross-section / diameter,Length (full),source,target,Wire termination processing source,Wire termination processing target,Routing direction source,Routing direction target,Bundle,Layout space: Routing track,Connection designation,Remark
931,=Q01+K1-W454,"UNITRONIC? LiYCY (TP) 8x0,5",,GY,"0,5",2 m,=Q01+K1.B1-A2:3,=A02+K1.B1-X21-X21.3F:14,,,,,,,,
932,=Q01+I1-W454,"UNITRONIC? LiYCY (TP) 8x0,5",,PK,"0,5",2 m,=A02+K1.B1-X21-X21.3M:15,=Q01+S1-N4-X2:2,,,,,,,,
933,=Q01+K1-W454,"UNITRONIC? LiYCY (TP) 8x0,5",,PK,"0,5",2 m,=Q01+K1.B1-A2:4,=A02+K1.B1-X21-X21.3F:15,,,,,,,,
934,=Q01+I1-W454,"UNITRONIC? LiYCY (TP) 8x0,5",,RD,"0,5",2 m,=A02+K1.B1-X21-X21.3M:16,=Q01+S1-N4-X2:5,,,,,,,,
935,=Q01+K1-W454,"UNITRONIC? LiYCY (TP) 8x0,5",,RD,"0,5",2 m,=Q01+K1.B1-A2:7,=A02+K1.B1-X21-X21.3F:16,,,,,,,,
936,=Q01+I1-W454,"UNITRONIC? LiYCY (TP) 8x0,5",,BU,"0,5",2 m,=A02+K1.B1-X21-X21.3M:17,=Q01+S1-N4-X2:6,,,,,,,,
937,=Q01+K1-W454,"UNITRONIC? LiYCY (TP) 8x0,5",,BU,"0,5",2 m,=Q01+K1.B1-A2:8,=A02+K1.B1-X21-X21.3F:17,,,,,,,,
938,=Q01+I1-W454,"UNITRONIC? LiYCY (TP) 8x0,5",,Schirm,,,=Q01+I1-W454:Schirm,=Q01+S1-N4:X2.CASE,,,,,,,,
939,=Q01+K1-W413,"UNITRONIC? LiYCY (TP) 8x0,5",,Schirm,"0,00",,=Q01+K1-W454:Schirm,=A02+K1.B1-W11:SE,,,,,,,,
940,=Q01+I1-W159,UNITRONIC? LiYCY (TP) 4x0.5 mm,,SH,"0,34",,=Q01+S1-E2:X1.CASE,=Q01+I1-W159,,,,,,,,
941,=Q01+I1-W159,UNITRONIC? LiYCY (TP) 4x0.5 mm,,WH,0.5,5 m,=A02+K1.B1-X21-X21.3M:18,=Q01+S1-E2:X1.1,,,,,,,,
942,=Q01+I1-W159,UNITRONIC? LiYCY (TP) 4x0.5 mm,,BN,0.5,5 m,=A02+K1.B1-X21-X21.3M:19,=Q01+S1-E2:X1.2,,,,,,,,
943,=Q01+I1-W159,UNITRONIC? LiYCY (TP) 4x0.5 mm,,YE,0.5,5 m,=A02+K1.B1-X21-X21.3M:20,=Q01+S1-E2:X1.3,,,,,,,,
944,=Q01+I1-W159,UNITRONIC? LiYCY (TP) 4x0.5 mm,,GN,0.5,5 m,=A02+K1.B1-X21-X21.3M:21,=Q01+S1-E2:X1.4,,,,,,,,
945,=Q01+I1-W159,UNITRONIC? LiYCY (TP) 4x0.5 mm,,,,,,,,,,,,,,
946,=Q01+K1-W159,UNITRONIC? LiYCY (TP) 4x0.5 mm,,WH,0.5,5 m,=Q01+K1.G1-N5:X3A.1,=A02+K1.B1-X21-X21.3F:18,,,,,,,,
947,=Q01+K1-W158,?LFLEX? CLASSIC 110 3x2.5 mm?,,1,"2,5",3.5 m,=Q01+K1.B1-X9:35:4,=Q01+K1.G1-N5:X0.+24V,,,,,,,,
948,=Q01+K1-W159,UNITRONIC? LiYCY (TP) 4x0.5 mm,,BN,0.5,5 m,=Q01+K1.G1-N5:X3A.2,=A02+K1.B1-X21-X21.3F:19,,,,,,,,
949,=Q01+K1-W158,?LFLEX? CLASSIC 110 3x2.5 mm?,,2,"2,5",3.5 m,=Q01+K1.B1-X9:36:5,=Q01+K1.G1-N5:X0.GND,,,,,,,,
950,=Q01+K1-W159,UNITRONIC? LiYCY (TP) 4x0.5 mm,,YE,0.5,5 m,=Q01+K1.G1-N5:X3B.2,=A02+K1.B1-X21-X21.3F:20,,,,,,,,
951,=Q01+K1-W158,?LFLEX? CLASSIC 110 3x2.5 mm?,,GNYE,"2,5",3.5 m,=Q01+K1.B1-X9:PE:1,=Q01+K1.G1-N5:X0.PE,,,,,,,,
952,=Q01+K1-W159,UNITRONIC? LiYCY (TP) 4x0.5 mm,,GN,0.5,5 m,=Q01+K1.G1-N5:X3B.1,=A02+K1.B1-X21-X21.3F:21,,,,,,,,
953,=Q01+K1-W461,UNITRONIC? LiYCY (TP) 4x0.5 mm,,WH,0.5,3 m,=Q01+K1.B1-A8:1,=Q01+K1.G1-N5:X1.9,,,,,,,,
954,=Q01+K1-W461,UNITRONIC? LiYCY (TP) 4x0.5 mm,,,,,=Q01+K1-W461,=Q01+K1.G1-N5:X1.CASE,,,,,,,,
955,=Q01+K1-W362,UNITRONIC? LiYCY (TP) 4x0.5 mm,,WH,0.5,3.5 m,=Q01+K1.B1-X9:37:4,=Q01+K1.G1-N5:X2.E+,,,,,,,,
956,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-A7:12,=Q01+K1.B1-X9:37:3,,,,,,,,
957,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-W5(-P2):P2:2,=Q01+K1.B1-X9:38:2,,,,,,,,
958,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-A7:5,=Q01+K1.B1-X9:39:3,,,,,,,,
959,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-W5(-P1):P1:1,=Q01+K1.B1-X9:40:2,,,,,,,,
960,=Q01+K1-W362,UNITRONIC? LiYCY (TP) 4x0.5 mm,,,,,=Q01+K1-W362,=A02+K1.B1-W9:SE,,,,,,,,
961,=Q01+K1-W362,UNITRONIC? LiYCY (TP) 4x0.5 mm,,,,,,,,,,,,,,
962,=Q01+K1-W461,UNITRONIC? LiYCY (TP) 4x0.5 mm,,BN,0.5,3 m,=Q01+K1.B1-A8:3,=Q01+K1.G1-N5:X1.10,,,,,,,,
963,=Q01+K1-W461,UNITRONIC? LiYCY (TP) 4x0.5 mm,,GN,0.5,3 m,=Q01+K1.B1-A8:5,=Q01+K1.G1-N5:X1.11,,,,,,,,
964,=Q01+K1-W461,UNITRONIC? LiYCY (TP) 4x0.5 mm,,YE,0.5,3 m,=Q01+K1.B1-A8:7,=Q01+K1.G1-N5:X1.12,,,,,,,,
965,=Q01+K1-W461,UNITRONIC? LiYCY (TP) 4x0.5 mm,,,,,=Q01+K1-W461,=A02+K1.B1-W11:SE,,,,,,,,
966,=Q01+K1-W362,UNITRONIC? LiYCY (TP) 4x0.5 mm,,BN,0.5,3.5 m,=Q01+K1.B1-X9:38:5,=Q01+K1.G1-N5:X2.E-,,,,,,,,
967,=Q01+K1-W362,UNITRONIC? LiYCY (TP) 4x0.5 mm,,GN,0.5,3.5 m,=Q01+K1.B1-X9:39:4,=Q01+K1.G1-N5:X2.NO,,,,,,,,
968,=Q01+K1-W362,UNITRONIC? LiYCY (TP) 4x0.5 mm,,YE,0.5,3.5 m,=Q01+K1.B1-X9:40:5,=Q01+K1.G1-N5:X2.COM,,,,,,,,
969,=Q01+K1-W463,"UNITRONIC? LiYCY 2x0,5 mm?",,WH,"0,5",2 m,=Q01+K1.B1-A9:14,=Q01+K1.B1-K7:12,,,,,,,,
970,=Q01+I1-W464,UNITRONIC? LiYCY 5x0.5 mm?,,WH,"0,5",8 m,=A02+K1.B1-X21-X21.4M:1,=Q01+S1-X3:1,,,,,,,,
971,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-K7:11,=A02+K1.B1-X21-X21.4F:1,,,,,,,,
972,=Q01+I1-W464,UNITRONIC? LiYCY 5x0.5 mm?,,BN,"0,5",8 m,=A02+K1.B1-X21-X21.4M:2,=Q01+S1-X3:2,,,,,,,,
973,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-K7:A2,=Q01+K1.B1-W5(-P2):P2:1,,,,,,,,
974,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-A9:4,=Q01+K1.B1-K7:A1,,,,,,,,
975,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-K6:A2,=Q01+K1.B1-W5(-P2):P2:1,,,,,,,,
976,=Q01+I1-W464,UNITRONIC? LiYCY 5x0.5 mm?,,YE,"0,5",8 m,=A02+K1.B1-X21-X21.4M:3,=Q01+S1-X3:6(5),,,,,,,,
977,=Q01+I1-W464,UNITRONIC? LiYCY 5x0.5 mm?,,GY,"0,5",8 m,=A02+K1.B1-X21-X21.4M:4,=Q01+S1-X3:A(3),,,,,,,,
978,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-W5(-P2):P2,=A02+K1.B1-X21-X21.4F:4,,,,,,,,
979,=Q01+I1-W464,UNITRONIC? LiYCY 5x0.5 mm?,,GN,"0,5",8 m,=A02+K1.B1-X21-X21.4M:5,=Q01+S1-X3:5(4),,,,,,,,
980,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-K6:11,=A02+K1.B1-X21-X21.4F:5,,,,,,,,
981,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-W5(-P1):P1,=A02+K1.B1-K20:63,,,,,,,,
982,=Q01+I1-W426,UNITRONIC? LiYCY 5x0.5 mm?,,,,,=Q01+I1-W426,=A02+K1.B1-W10:SE,,,,,,,,
983,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-W5(-P1):P1:1,=Q01+K1.B1-X9:42:2,,,,,,,,
984,=Q01+I1-W464,UNITRONIC? LiYCY 5x0.5 mm?,,,,,,,,,,,,,,
985,=Q01+K1-W463,"UNITRONIC? LiYCY 2x0,5 mm?",,,,,,,,,,,,,,
986,=Q01+K1-W463,"UNITRONIC? LiYCY 2x0,5 mm?",,,,,,,,,,,,,,
987,=Q01+S1-W465,,,BN,,,=Q01+S1-M2:BN,=Q01+S1-X3:1,,,,,,,,
988,=Q01+S1-W465,,,GY,,,=Q01+S1-M2:GY,=Q01+S1-X3:2,,,,,,,,
989,=+,,H05V-K,BU,"0,25",,=Q01+S1-X3:2,=Q01+S1-X3:A(3),,,,,,,,
990,=Q01+S1-W465,,,BU,,,=Q01+S1-M2:BU,=Q01+S1-X3:A(3),,,,,,,,
991,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-K7:14,=A02+K1.B1-X21-X21.4F:2,,,,,,,,
992,=Q01+K1-W463,"UNITRONIC? LiYCY 2x0,5 mm?",,BN,"0,5",2 m,=Q01+K1.B1-K7:14,=Q01+K1.B1-A9:15,,,,,,,,
993,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-A9:5,=Q01+K1.B1-K6:A1,,,,,,,,
994,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-K6:A1,=Q01+K1.B1-R11:2,,,,,,,,
995,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-R11:1,=A02+K1.B1-X21-X21.4F:3,,,,,,,,
996,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-A9:9,=A02+K1.B1-X21-X21.4F:3,,,,,,,,
997,=Q01+S1-W465,,,WH,,,=Q01+S1-M2:WH,=Q01+S1-X3:6(5),,,,,,,,
998,=Q01+S1-W465,,,PK,,,=Q01+S1-M2:PK,=Q01+S1-X3:5(4),,,,,,,,
999,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-K20:64,=Q01+K1.B1-K6:14,,,,,,,,
1000,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-K6:14,=Q01+K1.B1-X9:41:3,,,,,,,,
1001,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-A9:10,=Q01+K1.B1-X9:41:3,,,,,,,,
1002,=Q01+I1-W368,,,WH,0.34,,=A02+K1.B1-X21-X21.4M:6,=Q01+S1-B2:1,,,,,,,,
1003,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-W5(-P2):P2,=A02+K1.B1-X21-X21.4F:6,,,,,,,,
1004,=Q01+I1-W368,,,BN,0.34,,=A02+K1.B1-X21-X21.4M:7,=Q01+S1-B2:2,,,,,,,,
1005,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-W5(-P1):P1,=A02+K1.B1-X21-X21.4F:7,,,,,,,,
1006,=Q01+I1-W368,,,BK,0.34,,=A02+K1.B1-X21-X21.4M:8,=Q01+S1-B2:3,,,,,,,,
1007,=Q01+K1-W367,UNITRONIC? LiYCY 3x0.5 mm?,,WH,"0,5",3.5 m,=Q01+K1.B1-A9:2,=A02+K1.B1-X21-X21.4F:8,,,,,,,,
1008,=Q01+I1-W368,,,BU,0.34,,=A02+K1.B1-X21-X21.4M:9,=Q01+S1-B2:4,,,,,,,,
1009,=Q01+K1-W367,UNITRONIC? LiYCY 3x0.5 mm?,,GN,"0,5",3.5 m,=Q01+K1.B1-A9:1,=A02+K1.B1-X21-X21.4F:9,,,,,,,,
1010,=Q01+I1-W368,,,GY,0.34,,=A02+K1.B1-X21-X21.4M:10,=Q01+S1-B2:5,,,,,,,,
1011,=Q01+K1-W367,UNITRONIC? LiYCY 3x0.5 mm?,,BN,"0,5",3.5 m,=Q01+K1.B1-A9:3,=A02+K1.B1-X21-X21.4F:10,,,,,,,,
1012,=Q01+I1-W368,,,,,,=Q01+I1-W368,=Q01+S1-B2:CASE,,,,,,,,
1013,=Q01+I1-W330,Leitung Drehgeber 5x0.34,,Schirm,"0,34",,=Q01+I1-W330,=A02+K1.B1-W10:SE,,,,,,,,
1014,=Q01+K1-W329,"UNITRONIC? LiYCY 3x0,5 mm?",,Schirm,"0,50",,=Q01+K1-W367,=A02+K1.B1-W11:SE,,,,,,,,
1015,=A02+I1-W303,"UNITRONIC? LiYY 25x0,25",,GN,"0,25",,=A02+K1.B1-X20-X20.1M:3,=A02+S1-A21-X1:3,,,,,,,,
1016,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-A7:13,=A02+K1.B1-X20-X20.1F:3,,,,,,,,
1017,=A02+I1-W303,"UNITRONIC? LiYY 25x0,25",,YE,"0,25",,=A02+K1.B1-X20-X20.1M:4,=A02+S1-A21-X1:4,,,,,,,,
1018,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-A7:14,=A02+K1.B1-X20-X20.1F:4,,,,,,,,
1019,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-X21-X21.3F:22,=Q01+K1.B1-W5(-P1):X3:3,,,,,,,,
1020,=Q01+I1-W369,Sensorkabel 4x0.25 mm?,,BN,0.25,,=Q01+S1-B11:X1.1,=A02+K1.B1-X21-X21.3M:22,,,,,,,,
1021,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-X21-X21.3F:23,=Q01+K1.B1-A7:6,,,,,,,,
1022,=Q01+I1-W369,Sensorkabel 4x0.25 mm?,,BK,0.25,,=Q01+S1-B11:X1.4,=A02+K1.B1-X21-X21.3M:23,,,,,,,,
1023,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-X21-X21.3F:24,=Q01+K1.B1-W5(-P2):X3:1,,,,,,,,
1024,=Q01+I1-W369,Sensorkabel 4x0.25 mm?,,BU,0.25,,=Q01+S1-B11:X1.3,=A02+K1.B1-X21-X21.3M:24,,,,,,,,
1025,=+,,H07V-K,BU,"1,5",,=Q01+K1.B1-V1:2.1,=Q01+K1.B1-W5(-P1):X1:9,,,,,,,,
1026,=+,,H07V-K,BU,4,,=A02+K1.B1-W6(-P2):X1:5,=Q01+K1.B1-W5(-P2):X1:9,,,,,,,,
1027,=Q15+K1-W101,"?LFLEX? CLASSIC 110 3x2,5 mm?",,1,"2,5",4 m,=Q15+K1.B1-X20:1:4,=Q15+K1.G1-G1:X2.L,,,,,,,,
1028,=+,,H07V-K,BK,"2,5",,=Q15+K1.H2-F11:2,=Q15+K1.B1-X20:1:3,,,,,,,,
1029,=+,,H05V-K,direkt verbunden,"0,5",,=A02+K1.H2-W2.1:2L1,=Q15+K1.H2-F11:1,,,,,,,,
1030,=Q15+K1-W101,"?LFLEX? CLASSIC 110 3x2,5 mm?",,2,"2,5",4 m,=Q15+K1.B1-X20:2:5,=Q15+K1.G1-G1:X2.N,,,,,,,,
1031,=+,,H07V-K,BU,"2,5",,=A02+K1.H2-X5:N:2,=Q15+K1.B1-X20:2:2,,,,,,,,
1032,=Q15+K1-W101,"?LFLEX? CLASSIC 110 3x2,5 mm?",,GNYE,"2,5",4 m,=Q15+K1.B1-X20:PE:1,=Q15+K1.G1-G1:X2.PE,,,,,,,,
1033,=Q15+K1-W111,"H07V-K 1x1,5 mm?",,GNYE,"1,5",4 m,=A02+K1.H2-X6:PE:2,=Q15+K1.G1-G1:PE,,,,,,,,
1034,=+,,H05V-K,BU,"0,5",,=Q15+K1.H2-F11:11,=Q15+K1.B1-A2:1,,,,,,,,
1035,=+,,H05V-K,BU,"0,5",,=Q15+K1.B1-A2:2,=Q15+K1.B1-K1:11,,,,,,,,
1036,=+,,H05V-K,BU,"0,5",,=Q15+K1.B1-K1:11,=Q15+K1.B1-R1:2,,,,,,,,
1037,=Q15+K1-W410,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25 mm?",,BU,"0,25",3 m,=Q15+K1.B1-A21:X1:4,=Q15+K1.G1-G1:4,,,,,,,,
1038,=+,,H05V-K,BU,"0,5",,=Q15+K1.B1-R1:1,=Q15+K1.B1-A21:X2:4,,,,,,,,
1039,=+,,H05V-K,BU,"0,5",,=Q15+K1.B1-W5(-P1):P1:1,=Q15+K1.B1-K1:14,,,,,,,,
1040,=+,,H05V-K,BU,"0,75",,=Q15+K1.B1-K1:A1,=Q15+K1.B1-A1:1,,,,,,,,
1041,=Q15+K1-W410,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25 mm?",,RD,"0,25",3 m,=Q15+K1.B1-A21:X1:17,=Q15+K1.G1-G1:17,,,,,,,,
1042,=Q15+K1-W410,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25 mm?",,WH,"0,25",3 m,=Q15+K1.B1-A21:X1:5,=Q15+K1.G1-G1:5,,,,,,,,
1043,=Q15+K1-W410,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25 mm?",,BN,"0,25",3 m,=Q15+K1.B1-A21:X1:18,=Q15+K1.G1-G1:18,,,,,,,,
1044,=Q15+K1-W410,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25 mm?",,GN,"0,5",3 m,=Q15+K1.B1-A21:X1:2,=Q15+K1.G1-G1:2,,,,,,,,
1045,=Q15+K1-W410,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25 mm?",,YE,"0,5",3 m,=Q15+K1.B1-A21:X1:15,=Q15+K1.G1-G1:15,,,,,,,,
1046,=Q15+K1-W410,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25 mm?",,GY,"0,5",3 m,=Q15+K1.B1-A21:X1:3,=Q15+K1.G1-G1:3,,,,,,,,
1047,=Q15+K1-W411,"UNITRONIC? LiYCY (TP) 8x0,5 mm?",,,,,=Q15+K1-W411,=A02+K1.B1-W11:SE,,,,,,,,
1048,=Q15+K1-W410,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25 mm?",,BK,"0,25",3 m,=Q15+K1.B1-A21:X1:10,=Q15+K1.G1-G1:10,,,,,,,,
1049,=+,,H05V-K,BU,"0,5",,=Q15+K1.B1-A21:X2:10,=Q15+K1.B1-A21:X2:23,,,,,,,,
1050,=Q15+K1-W410,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25 mm?",,VT,"0,25",3 m,=Q15+K1.B1-A21:X1:23,=Q15+K1.G1-G1:23,,,,,,,,
1051,=Q15+K1-W410,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25 mm?",,BK,,,=Q15+K1-W410:BK,=Q15+K1.G1-G1:CASE,,,,,,,,
1052,=Q15+K1-W410,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25 mm?",,Schirm,,,=Q15+K1-W410:Schirm,=A02+K1.B1-W9:SE,,,,,,,,
1053,=Q15+K1-W411,"UNITRONIC? LiYCY (TP) 8x0,5 mm?",,,,,,,,,,,,,,
1054,=+,,H05V-K,BU,"0,75",,=Q15+K1.B1-A21:X2:17,=Q15+K1.B1-K1:A2,,,,,,,,
1055,=+,,H05V-K,BU,"0,5",,=Q15+K1.B1-W5(-P2):P2:2,=Q15+K1.B1-A21:X2:17,,,,,,,,
1056,=Q15+K1-W411,"UNITRONIC? LiYCY (TP) 8x0,5 mm?",,WH,"0,5",,=Q15+K1.B1-A3:1,=Q15+K1.B1-A21:X2:5,,,,,,,,
1057,=Q15+K1-W411,"UNITRONIC? LiYCY (TP) 8x0,5 mm?",,BN,"0,5",,=Q15+K1.B1-A3:2,=Q15+K1.B1-A21:X2:18,,,,,,,,
1058,=Q15+K1-W411,"UNITRONIC? LiYCY (TP) 8x0,5 mm?",,GN,"0,5",,=Q15+K1.B1-A4:1,=Q15+K1.B1-A21:X2:2,,,,,,,,
1059,=Q15+K1-W411,"UNITRONIC? LiYCY (TP) 8x0,5 mm?",,YE,"0,5",,=Q15+K1.B1-A4:2,=Q15+K1.B1-A21:X2:15,,,,,,,,
1060,=Q15+K1-W411,"UNITRONIC? LiYCY (TP) 8x0,5 mm?",,GY,"0,5",,=Q15+K1.B1-A4:5,=Q15+K1.B1-A21:X2:3,,,,,,,,
1061,=Q15+K1-W411,"UNITRONIC? LiYCY (TP) 8x0,5 mm?",,PK,"0,25",3 m,=Q15+K1.B1-A21:X1:16,=Q15+K1.G1-G1:16,,,,,,,,
1062,=Q15+K1-W411,"UNITRONIC? LiYCY (TP) 8x0,5 mm?",,BU,"0,75",,=Q15+K1.B1-A21:X2:16,=Q15+K1.B1-A4:6,,,,,,,,
1063,=Q15+K1-W102,"?LFLEX? CLASSIC 110 3x2,5 mm?",,1,"2,5",4 m,=Q15+K1.B1-X20:3:4,=Q15+K1.G1-G2:X2.L,,,,,,,,
1064,=+,,H07V-K,BK,"2,5",,=Q15+K1.H2-F12:2,=Q15+K1.B1-X20:3:3,,,,,,,,
1065,=+,,H05V-K,direkt verbunden,"0,5",,=A02+K1.H2-W2.1:2L2,=Q15+K1.H2-F12:1,,,,,,,,
1066,=Q15+K1-W102,"?LFLEX? CLASSIC 110 3x2,5 mm?",,2,"2,5",4 m,=Q15+K1.B1-X20:4:5,=Q15+K1.G1-G2:X2.N,,,,,,,,
1067,=+,,H07V-K,BU,"2,5",,=A02+K1.H2-X5:N:2,=Q15+K1.B1-X20:4:2,,,,,,,,
1068,=Q15+K1-W102,"?LFLEX? CLASSIC 110 3x2,5 mm?",,GNYE,"2,5",4 m,=Q15+K1.B1-X20:PE:1,=Q15+K1.G1-G2:X2.PE,,,,,,,,
1069,=Q15+K1-W112,"H07V-K 1x1,5 mm?",,GNYE,"1,5",4 m,=A02+K1.H2-X6:PE:2,=Q15+K1.G1-G2:PE,,,,,,,,
1070,=+,,H05V-K,BU,"0,5",,=Q15+K1.H2-F12:14,=Q15+K1.B1-A2:3,,,,,,,,
1071,=+,,H05V-K,BU,"0,5",,=Q15+K1.B1-A2:3,=Q15+K1.B1-A2:4,,,,,,,,
1072,=+,,H05V-K,BU,"0,75",,=Q15+K1.B1-W5(-P2):P2:1,=Q15+K1.B1-K22:A2,,,,,,,,
1073,=+,,H05V-K,BU,"0,75",,=Q15+K1.B1-K22:A1,=Q15+K1.B1-A1:2,,,,,,,,
1074,=+,,H05V-K,BU,"0,5",,=Q15+K1.B1-W5(-P1):P1:1,=Q15+K1.B1-K22:12,,,,,,,,
1075,=Q15+K1-W420,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25",,BK,"0,25",3 m,=Q15+K1.B1-A22:X1:8,=Q15+K1.G1-G2:REMOTE I/O:8,,,,,,,,
1076,=+,,H05V-K,BU,"0,5",,=Q15+K1.B1-K22:11,=Q15+K1.B1-A22:X2:8,,,,,,,,
1077,=+,,H05V-K,BU,"0,75",,=Q15+K1.B1-W5(-P2):P2:1,=Q15+K1.B1-K2:A2,,,,,,,,
1078,=+,,H05V-K,BU,"0,75",,=Q15+K1.B1-K2:A1,=Q15+K1.B1-A1:3,,,,,,,,
1079,=Q15+K1-W420,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25",,VT,"0,25",3 m,=Q15+K1.B1-A22:X1:14,=Q15+K1.G1-G2:REMOTE I/O:14,,,,,,,,
1080,=+,,H05V-K,BU,"0,75",,=Q15+K1.B1-A22:X2:14,=Q15+K1.B1-K2:11,,,,,,,,
1081,=+,,H05V-K,BU,"0,5",,=Q15+K1.B1-K2:14,=Q15+K1.B1-A22:X2:13,,,,,,,,
1082,=Q15+K1-W420,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25",,GYPK,"0,25",3 m,=Q15+K1.B1-A22:X1:13,=Q15+K1.G1-G2:REMOTE I/O:13,,,,,,,,
1083,=Q15+K1-W421,"UNITRONIC? LiYCY (TP) 8x0,5 mm?",,,,,=A02+K1.B1-W11:SE,=Q15+K1-W421,,,,,,,,
1084,=Q15+K1-W420,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25",,WH,"0,25",3 m,=Q15+K1.B1-A22:X1:6,=Q15+K1.G1-G2:REMOTE I/O:6,,,,,,,,
1085,=Q15+K1-W420,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25",,BN,"0,25",3 m,=Q15+K1.B1-A22:X1:7,=Q15+K1.G1-G2:REMOTE I/O:7,,,,,,,,
1086,=Q15+K1-W420,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25",,GN,"0,25",3 m,=Q15+K1.B1-A22:X1:18,=Q15+K1.G1-G2:REMOTE I/O:18,,,,,,,,
1087,=Q15+K1-W420,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25",,YE,"0,25",3 m,=Q15+K1.B1-A22:X1:19,=Q15+K1.G1-G2:REMOTE I/O:19,,,,,,,,
1088,=Q15+K1-W420,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25",,GY,"0,25",3 m,=Q15+K1.B1-A22:X1:5,=Q15+K1.G1-G2:REMOTE I/O:5,,,,,,,,
1089,=Q15+K1-W420,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25",,PK,"0,25",3 m,=Q15+K1.B1-A22:X1:4,=Q15+K1.G1-G2:REMOTE I/O:4,,,,,,,,
1090,=Q15+K1-W420,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25",,BU,"0,25",3 m,=Q15+K1.B1-A22:X1:17,=Q15+K1.G1-G2:REMOTE I/O:17,,,,,,,,
1091,=Q15+K1-W420,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25",,RD,"0,25",3 m,=Q15+K1.B1-A22:X1:16,=Q15+K1.G1-G2:REMOTE I/O:16,,,,,,,,
1092,=+,,H05V-K,BU,"0,5",,=Q15+K1.B1-A22:X1:11,=Q15+K1.G1-G2:REMOTE I/O:11,,,,,,,,
1093,=Q15+K1-W420,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25",,Schirm,"0,00",,=Q15+K1-W420:Schirm,=Q15+K1.G1-G2:CASE,,,,,,,,
1094,=Q15+K1-W420,"CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25",,,,,=Q15+K1-W420,=A02+K1.B1-W9:SE,,,,,,,,
1095,=Q15+K1-W421,"UNITRONIC? LiYCY (TP) 8x0,5 mm?",,,,,,,,,,,,,,
1096,=Q15+K1-W421,"UNITRONIC? LiYCY (TP) 8x0,5 mm?",,WH,"0,5",,=Q15+K1.B1-A3:3,=Q15+K1.B1-A22:X2:6,,,,,,,,
1097,=Q15+K1-W421,"UNITRONIC? LiYCY (TP) 8x0,5 mm?",,BN,"0,5",,=Q15+K1.B1-A3:4,=Q15+K1.B1-A22:X2:7,,,,,,,,
