Consecutive number,"Connection
device identifier(full)","cable
Type/connections number/RCS",Connection: Type designation,Connection color / number,Connection: Cross-section / diameter,Length (full),"Device (source)
Name of target connection point (full)","Device (target)
Name of target connection point (full)",Wire termination processing source,Wire termination processing target,Routing direction source,Routing direction target,Bundle,Layout space: Routing track,Connection designation,Remark
750,=Q01+I1-W312,"UNITRONIC® LiYCY 10x0,5 mm²",,RD,"0,5",,=A02+K1.B1-X21-X21.3M:9,=Q01+S1-N1:X1.8,,,,,,,,
751,=Q01+I1-W312,"UNITRONIC® LiYCY 10x0,5 mm²",H05V-K,BU,"0,75",,=A02+K1.B1-X21-X21.3F:9,=Q01+K1.B1-W5(-P1):P1,,,,,,,,
752,=Q01+I1-W413,"UNITRONIC® LiYCY (TP) 8x0,5",,WH,"0,5",2 m,=A02+K1.B1-X21-X21.4M:1,=Q01+S1-N1-X2:3,,,,,,,,
753,=Q01+K1-W413,"UNITRONIC® LiYCY (TP) 8x0,5",,WH,"0,5",2 m,=Q01+K1.B1-A3:1,=A02+K1.B1-X21-X21.4F:1,,,,,,,,
754,=Q01+I1-W413,"UNITRONIC® LiYCY (TP) 8x0,5",,BN,"0,5",2 m,=A02+K1.B1-X21-X21.4M:2,=Q01+S1-N1-X2:4,,,,,,,,
755,=Q01+K1-W413,"UNITRONIC® LiYCY (TP) 8x0,5",,BN,"0,5",2 m,=Q01+K1.B1-A3:2,=A02+K1.B1-X21-X21.4F:2,,,,,,,,
756,=Q01+I1-W413,"UNITRONIC® LiYCY (TP) 8x0,5",,GN,"0,5",2 m,=A02+K1.B1-X21-X21.4M:3,=Q01+S1-N1-X2:7,,,,,,,,
757,=Q01+K1-W413,"UNITRONIC® LiYCY (TP) 8x0,5",,GN,"0,5",2 m,=Q01+K1.B1-A3:5,=A02+K1.B1-X21-X21.4F:3,,,,,,,,
758,=Q01+I1-W413,"UNITRONIC® LiYCY (TP) 8x0,5",,YE,"0,5",2 m,=A02+K1.B1-X21-X21.4M:4,=Q01+S1-N1-X2:8,,,,,,,,
759,=Q01+K1-W413,"UNITRONIC® LiYCY (TP) 8x0,5",,YE,"0,5",2 m,=Q01+K1.B1-A3:6,=A02+K1.B1-X21-X21.4F:4,,,,,,,,
760,=Q01+I1-W413,"UNITRONIC® LiYCY (TP) 8x0,5",,GY,"0,5",2 m,=A02+K1.B1-X21-X21.4M:5,=Q01+S1-N1-X2:1,,,,,,,,
761,=Q01+K1-W413,"UNITRONIC® LiYCY (TP) 8x0,5",,GY,"0,5",2 m,=Q01+K1.B1-A2:1,=A02+K1.B1-X21-X21.4F:5,,,,,,,,
762,=Q01+I1-W413,"UNITRONIC® LiYCY (TP) 8x0,5",,PK,"0,5",2 m,=A02+K1.B1-X21-X21.4M:6,=Q01+S1-N1-X2:2,,,,,,,,
763,=Q01+K1-W413,"UNITRONIC® LiYCY (TP) 8x0,5",,PK,"0,5",2 m,=Q01+K1.B1-A2:2,=A02+K1.B1-X21-X21.4F:6,,,,,,,,
764,=Q01+I1-W413,"UNITRONIC® LiYCY (TP) 8x0,5",,RD,"0,5",2 m,=A02+K1.B1-X21-X21.4M:7,=Q01+S1-N1-X2:5,,,,,,,,
765,=Q01+K1-W413,"UNITRONIC® LiYCY (TP) 8x0,5",,RD,"0,5",2 m,=Q01+K1.B1-A2:5,=A02+K1.B1-X21-X21.4F:7,,,,,,,,
766,=Q01+I1-W413,"UNITRONIC® LiYCY (TP) 8x0,5",,BU,"0,5",2 m,=A02+K1.B1-X21-X21.4M:8,=Q01+S1-N1-X2:6,,,,,,,,
767,=Q01+K1-W413,"UNITRONIC® LiYCY (TP) 8x0,5",,BU,"0,5",2 m,=Q01+K1.B1-A2:6,=A02+K1.B1-X21-X21.4F:8,,,,,,,,
768,=Q01+I1-W413,"UNITRONIC® LiYCY (TP) 8x0,5",,Schirm,,,=Q01+I1-W413:Schirm,=Q01+S1-N1:X2.CASE,,,,,,,,
769,=Q01+K1-W413,"UNITRONIC® LiYCY (TP) 8x0,5",,Schirm,"0,00",,=Q01+K1-W413:Schirm,=A02+K1.B1-W11:SE,,,,,,,,
770,=+,,H07V-K,BU,"2,5",,=Q01+K1.H1-G2:-,=Q01+K1.B1-X9:16:2,,,,,,,,
771,=+,,H07V-K,BU,"2,5",,=Q01+K1.B1-X9:16:2,=Q01+K1.B1-X9:36:2,,,,,,,,
772,=+,,H07V-K,BK,"1,5",,=Q01+K1.H2-Q3:T1,=Q01+K1.H1-G2:L1,,,,,,,,
773,=+,,H05V-K,direkt verbunden,"0,5",,=A02+K1.H2-W3:3L1,=Q01+K1.H2-Q3:L1,,,,,,,,
774,=+,,H07V-K,BU,"2,5",,=Q01+K1.H1-G2:+,=Q01+K1.B1-X9:15:3,,,,,,,,
775,=+,,H07V-K,BU,"2,5",,=Q01+K1.B1-X9:15:3,=Q01+K1.B1-X9:35:3,,,,,,,,
776,=+,,H07V-K,BK,"1,5",,=Q01+K1.H2-Q3:T2,=Q01+K1.H1-G2:L2,,,,,,,,
777,=+,,H05V-K,direkt verbunden,"0,5",,=A02+K1.H2-W3:3L2,=Q01+K1.H2-Q3:L2,,,,,,,,
778,=+,,H07V-K,BK,"1,5",,=Q01+K1.H2-Q3:T3,=Q01+K1.H1-G2:L3,,,,,,,,
779,=+,,H05V-K,direkt verbunden,"0,5",,=A02+K1.H2-W3:3L3,=Q01+K1.H2-Q3:L3,,,,,,,,
780,=+,,H07V-K,GNYE,"2,5",,=Q01+K1.H1-G2:-,=A02+K1.H2-X6:PE:1,,,,,,,,
781,=+,,H07V-K,GNYE,"1,5",,=Q01+K1.B1-X9:PE:1,=Q01+K1.H1-G2:PE,,,,,,,,
782,=+,,H05V-K,BU,"0,5",,=Q01+K1.H2-Q3:14,=Q01+K1.B1-A4:4,,,,,,,,
783,=+,,H05V-K,BU,"0,5",,=Q01+K1.H2-Q3:14,=Q01+K1.B1-A7:4,,,,,,,,
784,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-W5(-P1):P1:1,=Q01+K1.H2-Q3:13,,,,,,,,
785,=Q01+I1-W118,UNITRONIC® LiYCY (TP) 4x0.5 mm,,Schirm,,,=Q01+S1-E1:X1.CASE,=Q01+I1-W118:Schirm,,,,,,,,
786,=Q01+I1-W118,UNITRONIC® LiYCY (TP) 4x0.5 mm,,WH,0.5,5 m,=A02+K1.B1-X21-X21.3M:10,=Q01+S1-E1:X1.1,,,,,,,,
787,=Q01+K1-W118,UNITRONIC® LiYCY (TP) 4x0.5 mm,,WH,0.5,5 m,=Q01+K1.G1-N2:X3A.1,=A02+K1.B1-X21-X21.3F:10,,,,,,,,
788,=Q01+K1-W117,"ÖLFLEX® CLASSIC 110 3x2,5 mm²",,1,"2,5",3.5 m,=Q01+K1.B1-X9:15:4,=Q01+K1.G1-N2:X0.+24V,,,,,,,,
789,=Q01+I1-W118,UNITRONIC® LiYCY (TP) 4x0.5 mm,,BN,0.5,5 m,=A02+K1.B1-X21-X21.3M:11,=Q01+S1-E1:X1.2,,,,,,,,
790,=Q01+K1-W118,UNITRONIC® LiYCY (TP) 4x0.5 mm,,BN,0.5,5 m,=Q01+K1.G1-N2:X3A.2,=A02+K1.B1-X21-X21.3F:11,,,,,,,,
791,=Q01+K1-W117,"ÖLFLEX® CLASSIC 110 3x2,5 mm²",,2,"2,5",3.5 m,=Q01+K1.B1-X9:16:5,=Q01+K1.G1-N2:X0.GND,,,,,,,,
792,=Q01+I1-W118,UNITRONIC® LiYCY (TP) 4x0.5 mm,,YE,0.5,5 m,=A02+K1.B1-X21-X21.3M:12,=Q01+S1-E1:X1.3,,,,,,,,
793,=Q01+K1-W118,UNITRONIC® LiYCY (TP) 4x0.5 mm,,YE,0.5,5 m,=Q01+K1.G1-N2:X3B.2,=A02+K1.B1-X21-X21.3F:12,,,,,,,,
794,=Q01+K1-W117,"ÖLFLEX® CLASSIC 110 3x2,5 mm²",,GNYE,"2,5",3.5 m,=Q01+K1.B1-X9:PE:1,=Q01+K1.G1-N2:X0.PE,,,,,,,,
795,=Q01+I1-W118,UNITRONIC® LiYCY (TP) 4x0.5 mm,,GN,0.5,5 m,=A02+K1.B1-X21-X21.3M:13,=Q01+S1-E1:X1.4,,,,,,,,
796,=Q01+K1-W118,UNITRONIC® LiYCY (TP) 4x0.5 mm,,GN,0.5,5 m,=Q01+K1.G1-N2:X3B.1,=A02+K1.B1-X21-X21.3F:13,,,,,,,,
797,=Q01+K1-W118,UNITRONIC® LiYCY (TP) 4x0.5 mm,,Schirm,,,,,,,,,,,,
798,=Q01+K1-W422,UNITRONIC® LiYCY (TP) 4x0.5 mm,,WH,0.5,3 m,=Q01+K1.B1-A5:1,=Q01+K1.G1-N2:X1.9,,,,,,,,
799,=Q01+K1-W422,UNITRONIC® LiYCY (TP) 4x0.5 mm,,BN,0.5,3 m,=Q01+K1.B1-A5:3,=Q01+K1.G1-N2:X1.10,,,,,,,,
800,=Q01+K1-W422,UNITRONIC® LiYCY (TP) 4x0.5 mm,,GN,0.5,3 m,=Q01+K1.B1-A5:5,=Q01+K1.G1-N2:X1.11,,,,,,,,
801,=Q01+K1-W422,UNITRONIC® LiYCY (TP) 4x0.5 mm,,YE,0.5,3 m,=Q01+K1.B1-A5:7,=Q01+K1.G1-N2:X1.12,,,,,,,,
802,=Q01+K1-W422,UNITRONIC® LiYCY (TP) 4x0.5 mm,,Schirm,,,=A02+K1.B1-W11:SE,=Q01+K1.G1-N2:X1.CASE,,,,,,,,
803,=Q01+K1-W324,UNITRONIC® LiYCY (TP) 4x0.5 mm,,WH,0.5,3.5 m,=Q01+K1.B1-X9:17:4,=Q01+K1.G1-N2:X2.E+,,,,,,,,
804,=+,,H05V-K,BU,"0,75",,=Q01+K1.B1-A4:12,=Q01+K1.B1-X9:17:3,,,,,,,,
805,=Q01+K1-W324,UNITRONIC® LiYCY (TP) 4x0.5 mm,,BN,0.5,3.5 m,=Q01+K1.B1-X9:18:5,=Q01+K1.G1-N2:X2.E-,,,,,,,,
806,=+,,H05V-K,BU,"0,75",,=Q01+K1.B1-W5(-P2):P2:2,=Q01+K1.B1-X9:18:2,,,,,,,,
807,=Q01+K1-W324,UNITRONIC® LiYCY (TP) 4x0.5 mm,,GN,0.5,3.5 m,=Q01+K1.B1-X9:19:4,=Q01+K1.G1-N2:X2.NO,,,,,,,,
808,=+,,H05V-K,BU,"0,75",,=Q01+K1.B1-A4:5,=Q01+K1.B1-X9:19:3,,,,,,,,
809,=Q01+K1-W324,UNITRONIC® LiYCY (TP) 4x0.5 mm,,YE,0.5,3.5 m,=Q01+K1.B1-X9:20:5,=Q01+K1.G1-N2:X2.COM,,,,,,,,
810,=+,,H05V-K,BU,"0,75",,=Q01+K1.B1-W5(-P1):P1:1,=Q01+K1.B1-X9:20:2,,,,,,,,
811,=Q01+K1-W324,UNITRONIC® LiYCY (TP) 4x0.5 mm,,Schirm,,,=Q01+K1-W324:Schirm,=A02+K1.B1-W9:SE,,,,,,,,
812,=Q01+K1-W425,"UNITRONIC® LiYCY 2x0,5 mm²",,Schirm,,,,,,,,,,,,
813,=+,,H05V-K,BU,"0,75",,=Q01+K1.B1-A13:1,=Q01+K1.B1-X9:21:4,,,,,,,,
814,=Q01+K1-W431,"UNITRONIC® LiYCY 12x0,5 mm²",,WH,"0,5",,=Q01+K1.G2-X1:2,=Q01+K1.B1-X9:21:3,,,,,,,,
815,=+,,H05V-K,BU,"0,75",,=Q01+K1.B1-A13:4,=Q01+K1.B1-X9:22:5,,,,,,,,
816,=Q01+K1-W431,"UNITRONIC® LiYCY 12x0,5 mm²",,BN,"0,5",,=Q01+K1.G2-X1:3,=Q01+K1.B1-X9:22:2,,,,,,,,
817,=+,,H05V-K,BU,"0,75",,=Q01+K1.B1-A13:5,=Q01+K1.B1-X9:23:4,,,,,,,,
818,=Q01+K1-W431,"UNITRONIC® LiYCY 12x0,5 mm²",,GN,"0,5",,=Q01+K1.G2-X1:4,=Q01+K1.B1-X9:23:3,,,,,,,,
819,=+,,H05V-K,BU,"0,75",,=Q01+K1.B1-A13:8,=Q01+K1.B1-X9:24:5,,,,,,,,
820,=Q01+K1-W431,"UNITRONIC® LiYCY 12x0,5 mm²",,YE,"0,5",,=Q01+K1.G2-X1:5,=Q01+K1.B1-X9:24:2,,,,,,,,
821,=+,,H05V-K,BU,"0,75",,=Q01+K1.B1-W5(-P1):P1:2,=Q01+K1.B1-X9:25:4,,,,,,,,
822,=Q01+K1-W431,"UNITRONIC® LiYCY 12x0,5 mm²",,GY,"0,5",,=Q01+K1.G2-X1:6,=Q01+K1.B1-X9:25:3,,,,,,,,
823,=Q01+K1-W432,UNITRONIC® LiYCY (TP) 4x0.5 mm,,Schirm,"0,00",,=Q01+K1.B1-X9:26:5,=A02+K1.B1-W11:SE,,,,,,,,
824,=Q01+K1-W431,"UNITRONIC® LiYCY 12x0,5 mm²",,SH,"0,5",,=Q01+K1.G2-X1:8,=Q01+K1.B1-X9:26:2,,,,,,,,
825,=+,,H05V-K,BU,"0,75",,=Q01+K1.B1-X9:27:4,=Q01+K1.B1-X9:30:5,,,,,,,,
826,=+,,H05V-K,BU,"0,75",,=Q01+K1.B1-X9:30:5,=Q01+K1.B1-G4:5,,,,,,,,
827,=Q01+K1-W431,"UNITRONIC® LiYCY 12x0,5 mm²",,PK,"0,5",,=Q01+K1.G2-X1:9,=Q01+K1.B1-X9:27:3,,,,,,,,
828,=Q01+K1-W432,UNITRONIC® LiYCY (TP) 4x0.5 mm,,WH,0.5,,=Q01+K1.B1-X9:28:5,=Q01+K1.B1-A12:1,,,,,,,,
829,=Q01+K1-W431,"UNITRONIC® LiYCY 12x0,5 mm²",,BU,"0,5",,=Q01+K1.G2-X1:10,=Q01+K1.B1-X9:28:2,,,,,,,,
830,=Q01+K1-W432,UNITRONIC® LiYCY (TP) 4x0.5 mm,,BN,0.5,,=Q01+K1.B1-X9:29:4,=Q01+K1.B1-A12:3,,,,,,,,
831,=+,,H05V-K,BU,"0,75",,=Q01+K1.B1-X9:29:4,=Q01+K1.B1-X9:32:5,,,,,,,,
832,=Q01+K1-W431,"UNITRONIC® LiYCY 12x0,5 mm²",,RD,"0,5",,=Q01+K1.G2-X1:11,=Q01+K1.B1-X9:29:3,,,,,,,,
833,=Q01+K1-W431,"UNITRONIC® LiYCY 12x0,5 mm²",,BK,"0,5",,=Q01+K1.G2-X1:12,=Q01+K1.B1-X9:30:2,,,,,,,,
834,=Q01+K1-W432,UNITRONIC® LiYCY (TP) 4x0.5 mm,,GN,0.5,,=Q01+K1.B1-X9:31:4,=Q01+K1.B1-A12:5,,,,,,,,
835,=Q01+K1-W431,"UNITRONIC® LiYCY 12x0,5 mm²",,VT,"0,5",,=Q01+K1.G2-X1:13,=Q01+K1.B1-X9:31:3,,,,,,,,
836,=+,,H05V-K,BU,"0,75",,=Q01+K1.B1-X9:32:5,=Q01+K1.B1-G4:6,,,,,,,,
837,=Q01+K1-W432,UNITRONIC® LiYCY (TP) 4x0.5 mm,,YE,0.5,,=Q01+K1.B1-X9:32:5,=Q01+K1.B1-A12:7,,,,,,,,
838,=Q01+K1-W431,"UNITRONIC® LiYCY 12x0,5 mm²",,GYPK,"0,5",,=Q01+K1.G2-X1:14,=Q01+K1.B1-X9:32:2,,,,,,,,
839,=+,,H05V-K,BU,"0,75",,=Q01+K1.B1-G4:8,=Q01+K1.B1-W5(-P2):P2:1,,,,,,,,
840,=+,,H05V-K,BU,"0,75",,=Q01+K1.B1-G4:7,=Q01+K1.B1-W5(-P1):P1:2,,,,,,,,
841,=Q01+K1-W425,"UNITRONIC® LiYCY 2x0,5 mm²",,WH,"0,5",2 m,=Q01+K1.B1-A6:14,=Q01+K1.B1-K5:12,,,,,,,,
842,=Q01+I1-W426,UNITRONIC® LiYCY 5x0.5 mm²,,WH,"0,5",8 m,=A02+K1.B1-X21-X21.5M:1,=Q01+S1-X3:1,,,,,,,,
843,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-K5:11,=A02+K1.B1-X21-X21.5F:1,,,,,,,,
844,=Q01+I1-W426,UNITRONIC® LiYCY 5x0.5 mm²,,BN,"0,5",8 m,=A02+K1.B1-X21-X21.5M:2,=Q01+S1-X3:2,,,,,,,,
845,=+,,H05V-K,BU,"0,75",,=Q01+K1.B1-W5(-P2):P2:2,=Q01+K1.B1-K5:A2,,,,,,,,
846,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-A6:4,=Q01+K1.B1-K5:A1,,,,,,,,
847,=+,,H05V-K,BU,"0,75",,=Q01+K1.B1-W5(-P2):P2:1,=Q01+K1.B1-K4:A2,,,,,,,,
848,=Q01+I1-W426,UNITRONIC® LiYCY 5x0.5 mm²,,YE,"0,5",8 m,=A02+K1.B1-X21-X21.5M:3,=Q01+S1-X3:6(5),,,,,,,,
849,=Q01+I1-W426,UNITRONIC® LiYCY 5x0.5 mm²,,GY,"0,5",8 m,=A02+K1.B1-X21-X21.5M:4,=Q01+S1-X3:A(3),,,,,,,,
850,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-W5(-P2):P2,=A02+K1.B1-X21-X21.5F:4,,,,,,,,
851,=Q01+I1-W426,UNITRONIC® LiYCY 5x0.5 mm²,,GN,"0,5",8 m,=A02+K1.B1-X21-X21.5M:5,=Q01+S1-X3:5(4),,,,,,,,
852,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-K4:11,=A02+K1.B1-X21-X21.5F:5,,,,,,,,
853,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-W5(-P1):P1:1,=A02+K1.B1-K20:23,,,,,,,,
854,=Q01+I1-W426,UNITRONIC® LiYCY 5x0.5 mm²,,Schirm,,,=Q01+I1-W426:Schirm,=A02+K1.B1-W10:SE,,,,,,,,
855,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-W5(-P1):P1:2,=Q01+K1.B1-X9:34:2,,,,,,,,
856,=Q01+K1-W425,"UNITRONIC® LiYCY 2x0,5 mm²",,,,,,,,,,,,,,
857,=Q01+S1-W427,,,BN,,,=Q01+S1-M1:BN,=Q01+S1-X3:1,,,,,,,,
858,=Q01+S1-W427,,,GY,,,=Q01+S1-M1:GY,=Q01+S1-X3:2,,,,,,,,
859,=+,,H05V-K,BU,"0,25",,=Q01+S1-X3:2,=Q01+S1-X3:A(3),,,,,,,,
860,=Q01+S1-W427,,,BU,,,=Q01+S1-M1:BU,=Q01+S1-X3:A(3),,,,,,,,
861,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-K5:14,=A02+K1.B1-X21-X21.5F:2,,,,,,,,
862,=Q01+K1-W425,"UNITRONIC® LiYCY 2x0,5 mm²",,BN,"0,5",2 m,=Q01+K1.B1-K5:14,=Q01+K1.B1-A6:15,,,,,,,,
863,=+,,H05V-K,BU,"0,75",,=Q01+K1.B1-K4:A1,=Q01+K1.B1-A6:5,,,,,,,,
864,=+,,H05V-K,BU,"0,75",,=Q01+K1.B1-R1:1,=Q01+K1.B1-K4:A1,,,,,,,,
865,=+,,H05V-K,BU,"0,75",,=Q01+K1.B1-R1:2,=A02+K1.B1-X21-X21.5F:3,,,,,,,,
866,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-A6:9,=A02+K1.B1-X21-X21.5F:3,,,,,,,,
867,=Q01+S1-W427,,,WH,,,=Q01+S1-M1:WH,=Q01+S1-X3:6(5),,,,,,,,
868,=Q01+S1-W427,,,PK,,,=Q01+S1-M1:PK,=Q01+S1-X3:5(4),,,,,,,,
869,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-K20:24,=Q01+K1.B1-K4:14,,,,,,,,
870,=+,,H05V-K,BU,"1,50",,=Q01+K1.B1-K4:14,=Q01+K1.B1-X9:33:3,,,,,,,,
871,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-A6:10,=Q01+K1.B1-X9:33:3,,,,,,,,
872,=Q01+I1-W330,Leitung Drehgeber 5x0.34,,WH,"0,34",,=Q01+S1-B1:1,=A02+K1.B1-X21-X21.5M:6,,,,,,,,
873,=+,,H05V-K,BU,"0,75",,=A02+K1.B1-X21-X21.5F:6,=Q01+K1.B1-W5(-P2):P2,,,,,,,,
874,=Q01+I1-W330,Leitung Drehgeber 5x0.34,,BN,"0,34",,=Q01+S1-B1:2,=A02+K1.B1-X21-X21.5M:7,,,,,,,,
875,=+,,H05V-K,BU,"0,75",,=A02+K1.B1-X21-X21.5F:7,=Q01+K1.B1-W5(-P1):P1,,,,,,,,
876,=Q01+I1-W330,Leitung Drehgeber 5x0.34,,BK,"0,34",,=Q01+S1-B1:3,=A02+K1.B1-X21-X21.5M:8,,,,,,,,
877,=Q01+K1-W329,"UNITRONIC® LiYCY 3x0,5 mm²",,WH,"0,5",3 m,=Q01+K1.B1-A6:2,=A02+K1.B1-X21-X21.5F:8,,,,,,,,
878,=Q01+I1-W330,Leitung Drehgeber 5x0.34,,BU,"0,34",,=Q01+S1-B1:4,=A02+K1.B1-X21-X21.5M:9,,,,,,,,
879,=Q01+K1-W329,"UNITRONIC® LiYCY 3x0,5 mm²",,BN,"0,5",3 m,=Q01+K1.B1-A6:1,=A02+K1.B1-X21-X21.5F:9,,,,,,,,
880,=Q01+I1-W330,Leitung Drehgeber 5x0.34,,GY,"0,34",,=Q01+S1-B1:5,=A02+K1.B1-X21-X21.5M:10,,,,,,,,
881,=Q01+K1-W329,"UNITRONIC® LiYCY 3x0,5 mm²",,GN,"0,5",3 m,=Q01+K1.B1-A6:3,=A02+K1.B1-X21-X21.5F:10,,,,,,,,
882,=Q01+K1-W329,"UNITRONIC® LiYCY 3x0,5 mm²",,Schirm,"0,50",,=Q01+K1-W329:Schirm,=A02+K1.B1-W11:SE,,,,,,,,
883,=Q01+I1-W330,Leitung Drehgeber 5x0.34,,Schirm,"0,34",,=A02+K1.B1-W10:SE,=Q01+S1-B1:CASE,,,,,,,,
884,=A02+I1-W303,"UNITRONIC® LiYY 25x0,25",,WH,"0,25",10 m,=A02+S1-A21-X1:1,=A02+K1.B1-X20-X20.1M:1,,,,,,,,
885,=+,,H05V-K,BU,"0,75",,=A02+K1.B1-X20-X20.1F:1,=Q01+K1.B1-A4:13,,,,,,,,
886,=A02+I1-W303,"UNITRONIC® LiYY 25x0,25",,BN,"0,25",10 m,=A02+S1-A21-X1:2,=A02+K1.B1-X20-X20.1M:2,,,,,,,,
887,=+,,H05V-K,BU,"0,75",,=A02+K1.B1-X20-X20.1F:2,=Q01+K1.B1-A4:14,,,,,,,,
888,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-X21-X21.4F:9,=Q01+K1.B1-W5(-P1):X3:3,,,,,,,,
889,=Q01+I1-W325,Sensorkabel 4x0.25 mm²,,BN,0.25,,=Q01+S1-B10:X1.1,=A02+K1.B1-X21-X21.4M:9,,,,,,,,
890,=Q01+I1-W325,Sensorkabel 4x0.25 mm²,,BK,0.25,,=Q01+S1-B10:X1.4,=A02+K1.B1-X21-X21.4M:10,,,,,,,,
891,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-X21-X21.4F:11,=Q01+K1.B1-W5(-P2):X3:1,,,,,,,,
892,=Q01+I1-W325,Sensorkabel 4x0.25 mm²,,BU,0.25,,=Q01+S1-B10:X1.3,=A02+K1.B1-X21-X21.4M:11,,,,,,,,
893,=+,,,,,,=Q01+K1.D2-X2:1,=Q01+K1.D2-X2:1,,,,,,,,
894,=Q01+I1-W150,ÖLFLEX® CLASSIC 110 3x1.5 mm²,,1,"1,5",8 m,=Q01+K1.D2-X2:1,=Q01+S1-N4:X0.1,,,,,,,,
895,=+,,,,,,=Q01+K1.D2-X2:2,=Q01+K1.D2-X2:2,,,,,,,,
896,=Q01+I1-W150,ÖLFLEX® CLASSIC 110 3x1.5 mm²,,2,"1,5",8 m,=Q01+K1.D2-X2:2,=Q01+S1-N4:X0.2,,,,,,,,
897,=+,,,,,,=Q01+K1.D2-X2:3,=Q01+K1.D2-X2:3,,,,,,,,
898,=Q01+I1-W150,ÖLFLEX® CLASSIC 110 3x1.5 mm²,,GNYE,"1,5",8 m,=Q01+K1.D2-X2:PE,=Q01+S1-N4:X0.PE,,,,,,,,
899,=+,,H05V-K,BU,"0,5",,=Q01+K1.D2-X2:PE,=Q01+K1.D2-X2:PE,,,,,,,,
900,=+,,H07V-K,GNYE,"1,5",,=A02+K1.H2-X6:PE:2,=Q01+K1.D2-X2:PE,,,,,,,,
901,=Q01+S1-W151,,,HE10,,,=Q01+S1-N4:X5.1,=Q01+S1-E2:1,,,,,,,,
902,=Q01+S1-W151,,,FLEXGR-Cu,"0,00",,=Q01+S1-N4:X5.S,=Q01+S1-E2:S,,,,,,,,
903,=Q01+S1-W151,,,,,,,,,,,,,,,
904,=Q01+S1-W151,,,,,,,,,,,,,,,
905,=Q01+S1-W152,,,HE10,,,=Q01+S1-N4:X6.1,=Q01+S1-E2:1,,,,,,,,
906,=Q01+S1-W152,,,FLEXGR-Cu,"0,00",,=Q01+S1-N4:X6.S,=Q01+S1-E2:S,,,,,,,,
907,=Q01+S1-W152,,,,,,,,,,,,,,,
908,=Q01+S1-W152,,,,,,,,,,,,,,,
909,=Q01+I1-W353,"UNITRONIC® LiYCY 10x0,5 mm²",,,,,=Q01+S1-N4:X1.CASE,=Q01+I1-W353,,,,,,,,
910,=Q01+I1-W353,"UNITRONIC® LiYCY 10x0,5 mm²",,WH,"0,5",,=A02+K1.B1-X21-X21.6M:1,=Q01+S1-N4:X1.1,,,,,,,,
911,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-A7:9,=A02+K1.B1-X21-X21.6F:1,,,,,,,,
912,=Q01+I1-W353,"UNITRONIC® LiYCY 10x0,5 mm²",,BN,"0,5",,=A02+K1.B1-X21-X21.6M:2,=Q01+S1-N4:X1.2,,,,,,,,
913,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-X21-X21.6F:2,=Q01+K1.B1-W5(-P2):P2:2,,,,,,,,
914,=Q01+I1-W353,"UNITRONIC® LiYCY 10x0,5 mm²",,GN,"0,5",,=A02+K1.B1-X21-X21.6M:3,=Q01+S1-N4:X1.3,,,,,,,,
915,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-A7:10,=A02+K1.B1-X21-X21.6F:3,,,,,,,,
916,=Q01+I1-W353,"UNITRONIC® LiYCY 10x0,5 mm²",,YE,"0,5",,=A02+K1.B1-X21-X21.6M:4,=Q01+S1-N4:X1.4,,,,,,,,
917,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-X21-X21.6F:4,=Q01+K1.B1-W5(-P2):P2:2,,,,,,,,
918,=Q01+I1-W353,"UNITRONIC® LiYCY 10x0,5 mm²",,GY,"0,5",,=A02+K1.B1-X21-X21.6M:5,=Q01+S1-N4:X1.5,,,,,,,,
919,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-A7:11,=A02+K1.B1-X21-X21.6F:5,,,,,,,,
920,=Q01+I1-W353,"UNITRONIC® LiYCY 10x0,5 mm²",,PK,"0,5",,=A02+K1.B1-X21-X21.6M:6,=Q01+S1-N4:X1.6,,,,,,,,
921,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-X21-X21.6F:6,=Q01+K1.B1-W5(-P2):P2:2,,,,,,,,
922,=Q01+I1-W353,"UNITRONIC® LiYCY 10x0,5 mm²",,BU,"0,5",,=A02+K1.B1-X21-X21.6M:7,=Q01+S1-N4:X1.7,,,,,,,,
923,=+,,H05V-K,BU,"0,5",,=Q01+K1.B1-A7:2,=A02+K1.B1-X21-X21.6F:7,,,,,,,,
924,=Q01+I1-W353,"UNITRONIC® LiYCY 10x0,5 mm²",,BK,"0,5",,=A02+K1.B1-X21-X21.6M:8,=Q01+S1-N4:X1.9,,,,,,,,
